kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
11513366,K05907.01,,1,1,,587.38162,188.1143,0.6822,11.973,863.6,36.77,527.0,18.29,12.8,1.0,q1_q16_tce,4784.0,2.711,11.839,294.72955,49.428478,13.715
11520114,K05909.01,,1,1,1.0,7.07987663,131.6046,0.034,2.589,309.8,1.36,738.0,70.05,10.0,1.0,q1_q17_dr25_tce,4808.0,4.521,0.806,297.39496,49.48494,15.975
11520465,K05910.01,,1,1,,91.240335,155.7237,0.1436,2.314,206.1,1.75,494.0,14.03,5.7,1.0,q1_q16_tce,6493.0,4.305,1.205,297.52707,49.404499,13.89
11559493,K05911.01,,1,1,,357.41382,311.3642,0.1438,3.675,777.0,3.01,283.0,1.52,6.7,1.0,q1_q16_tce,6233.0,4.412,1.076,292.07788,49.52961,15.388
11598638,K05912.01,,1,1,,359.854745,305.6179,0.8071,3.429,302.4,2.25,302.0,1.97,6.1,1.0,q1_q16_tce,6495.0,4.379,1.168,284.55368,49.6847,13.728
11598894,K05913.01,,1,1,,89.366114,208.893,0.39,3.945,494.0,1.97,391.0,5.54,6.3,1.0,q1_q16_tce,5861.0,4.522,0.875,284.74847,49.606258,15.409
11599937,K05915.01,,1,1,0.024,37.6259039,167.22072,0.49,3.91,411.0,1.81,519.0,17.13,11.7,1.0,q1_q17_dr25_tce,5874.0,4.542,0.871,285.45917,49.661942,15.013
11601425,K05917.01,,1,1,0.799,41.9934673,143.89297,0.046,3.226,293.7,1.56,503.0,15.19,9.4,1.0,q1_q17_dr25_tce,5766.0,4.498,0.915,286.3562,49.690128,14.847
11601633,K05918.01,,1,1,,94.67782,187.4731,0.3614,2.215,287.0,1.46,353.0,3.67,5.9,1.0,q1_q16_tce,5360.0,4.503,0.866,286.49686,49.614578,14.258
11601972,K05919.01,,1,1,0.185,290.196139,264.8759,0.017,13.698,281.0,2.35,341.0,3.2,15.7,1.0,q1_q17_dr25_tce,6238.0,4.224,1.403,286.73245,49.683189,13.511
